,mat_comp_h11,proj_spc_h11,eng_feat_h11,combined_h11,mat_comp_h21,proj_spc_h21,eng_feat_h21,combined_h21
colsample_bytree,1.0,0.1,0.1,1.0,0.888793138242658,0.8872250544447207,0.818078553596644,1.0
max_depth,100.0,100.0,103.0,500.0,500.0,275.0,100.0,500.0
min_child_weight,0.0001,0.1,0.008487182499763064,0.0001,0.1,0.1,0.0001,0.0001
n_estimators,2.0,100.0,72.0,2.0,2.0,2.0,100.0,100.0
num_leaves,100.0,2.0,100.0,100.0,100.0,100.0,100.0,100.0
reg_alpha,0.1,100.0,0.1,0.1,0.3682616494123022,0.1,0.46622323489411965,0.6319275107017571
reg_lambda,0.1,0.1,0.1,0.1,0.3361292471200964,0.8823534387141763,0.1,0.1
subsample,0.8500725189599725,0.1,0.1,0.99,0.99,0.40558416076361115,0.8231302526093851,0.42075490592684384
