,mat_comp_h11,proj_spc_h11,eng_feat_h11,combined_h11,mat_comp_h21,proj_spc_h21,eng_feat_h21,combined_h21
C,30.691156418735538,0.001,0.022438721430086222,0.006647333560442709,2.826070309450425,0.001,100.0,2.119715407283547
epsilon,0.6031463161473087,0.0,0.0,0.4517563287320467,0.0,0.0,0.0,0.0
fit_intercept,0,0,1,0,1,1,0,1
intercept_scaling,0.010457798974940119,100.0,0.01,0.010670366161962526,3.178124029789337,100.0,0.01,0.01
loss,epsilon_insensitive,epsilon_insensitive,squared_epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive
