,num_cp,dim_h0_amb_1,dim_h0_amb_2,dim_h0_amb_3,dim_h0_amb_4,dim_h0_amb_5,dim_h0_amb_6,dim_h0_amb_7,dim_h0_amb_8,dim_h0_amb_9,dim_h0_amb_10,dim_h0_amb_11,dim_h0_amb_12,dim_h0_amb_13,dim_h0_amb_14,dim_h0_amb_15,dim_h0_amb_16,dim_h0_amb_17,dim_h0_amb_18,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
7815,2,15,90,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,9,4,4,4,6,6,6,18,12,18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0
2254,10,6,4,4,4,4,6,6,6,6,6,54,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
1951,9,6,6,6,6,6,6,8,8,9,9,12,12,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
7294,5,24,8,6,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
113,12,4,4,4,4,4,6,9,6,6,6,9,6,18,9,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0
6672,5,16,10,10,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0
2509,8,6,4,6,4,6,12,9,9,12,12,12,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,0,0,0,0,0,0,0
5755,5,8,8,12,12,12,12,16,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0
3903,7,24,6,6,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
2548,8,6,4,4,6,6,6,9,18,18,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
3279,7,6,6,6,6,18,18,9,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
507,11,6,6,4,4,4,8,6,9,4,6,8,12,9,12,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
7747,4,108,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
5246,5,24,6,12,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
6589,5,6,24,24,8,9,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
6795,4,9,9,30,9,12,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0
3921,7,6,8,6,6,16,9,9,12,12,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
4168,8,6,4,4,9,6,12,9,27,6,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
2850,8,16,6,12,6,6,6,9,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
4593,6,6,8,6,6,16,12,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
5818,6,6,6,6,24,9,12,12,12,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
7383,4,6,12,42,12,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0
350,11,4,4,6,4,4,6,6,4,6,6,9,9,18,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
7223,6,6,6,6,6,54,9,9,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
4264,8,6,6,6,6,6,6,24,18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
6810,5,18,6,6,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2505,9,6,4,4,6,6,8,9,8,12,24,6,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
2620,7,6,4,4,6,12,18,18,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
4250,6,12,20,6,8,12,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
1114,10,6,4,4,4,4,6,6,4,24,27,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0
2846,8,4,4,4,8,18,6,6,8,30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
5548,7,6,6,6,6,6,18,27,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
298,11,6,4,4,4,4,6,6,6,6,6,18,18,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
1675,9,6,4,4,4,4,6,6,18,9,27,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
6237,4,8,8,20,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0
7434,4,18,6,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
3412,6,6,8,6,8,18,9,12,12,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
7684,4,10,10,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
6415,6,32,8,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0
6227,6,6,6,6,6,30,9,12,12,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
3534,9,6,4,4,6,6,6,6,9,18,18,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
229,11,4,4,4,4,4,6,6,6,6,9,18,18,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
76,13,6,6,4,6,6,4,4,4,6,6,6,6,9,6,18,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0
5850,6,6,10,6,10,15,9,15,15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
5650,6,32,6,6,8,9,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
4034,8,6,4,4,9,24,9,12,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
5054,8,6,6,6,6,6,6,18,24,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
2103,9,6,4,4,6,6,6,8,8,8,27,12,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
7426,3,12,12,36,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0
7014,4,6,30,9,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0
6460,7,6,6,6,6,6,54,9,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
5441,6,16,6,24,8,12,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
5247,5,6,8,16,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
1614,9,6,8,6,6,6,8,8,8,8,8,9,16,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,0,0,0,0,0,0
607,10,6,6,6,6,6,6,6,6,12,9,9,9,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
7069,5,8,8,32,8,12,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
1093,10,6,4,4,4,4,6,6,36,6,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0
3121,8,12,6,6,6,6,6,18,9,9,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
2622,9,4,4,4,4,4,6,12,8,12,24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0
6367,5,6,18,27,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0
7709,3,8,10,60,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
7449,5,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
203,12,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0
2387,7,18,6,6,6,6,6,9,18,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
3554,8,6,6,24,6,6,8,8,8,12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
4518,8,4,4,4,4,4,6,15,10,45,15,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,0,0,0,0,0,0,0
837,10,4,4,4,8,6,8,6,6,18,8,12,9,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
5102,6,8,8,8,8,24,8,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0
7785,2,28,28,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,4,18,27,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
5967,6,6,6,6,16,24,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
1609,9,6,4,4,6,6,6,6,6,18,27,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
4936,6,12,6,8,18,8,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
7088,8,4,4,6,4,4,9,6,108,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
4442,6,12,12,6,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
2732,8,6,6,6,6,6,12,18,9,9,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
3193,8,6,6,4,4,4,8,4,20,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
6037,7,16,6,6,6,6,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
5472,6,16,8,8,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0
7256,5,16,8,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0
4927,8,4,4,6,4,4,72,8,12,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
5681,6,6,8,6,16,24,9,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
6510,4,18,6,30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0
3024,8,6,8,6,6,8,8,18,8,9,9,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
3819,7,16,6,6,6,6,8,20,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
3912,7,6,10,6,6,10,10,9,9,15,15,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,0,0,0,0,0,0,0,0
657,10,4,4,6,4,4,9,6,9,18,9,9,6,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
790,10,4,4,4,4,4,9,6,18,9,18,6,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
5255,6,6,6,27,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0
6791,8,6,4,4,4,4,6,81,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0
6480,6,18,6,6,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
2561,7,18,6,6,6,9,9,9,9,9,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
4267,8,4,4,4,24,24,9,6,8,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
1359,9,6,6,6,6,6,6,12,9,9,9,9,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
5768,4,24,6,12,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0
2347,9,4,4,6,4,4,9,6,54,9,6,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
5653,7,4,4,4,8,48,8,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0
7290,5,18,6,6,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2781,8,6,4,4,8,24,8,16,8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0
3131,8,6,4,4,8,6,6,8,12,12,16,16,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,0,0,0,0,0,0,0
5771,5,18,6,27,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0
5969,6,6,6,6,12,18,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
6864,5,6,10,6,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0
3954,7,6,4,4,6,6,15,9,15,15,15,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,0,0,0,0,0,0,0,0
6139,4,18,10,9,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0
2575,7,6,8,6,8,9,9,9,9,12,12,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,0,0,0,0,0,0,0,0
6009,7,6,8,6,6,6,32,12,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
5491,6,24,8,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0
4035,7,6,4,4,8,12,12,18,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
6823,6,6,6,6,54,9,9,9,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
6710,8,4,4,6,4,4,9,4,108,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
1780,9,4,4,6,4,4,9,6,36,9,6,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
3258,9,4,4,4,4,4,9,6,9,27,18,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
803,10,4,4,6,4,4,9,6,4,18,18,9,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
857,10,12,12,6,6,6,6,6,6,6,6,9,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
5169,8,4,4,4,6,6,6,18,54,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
4584,6,18,6,10,6,10,10,15,15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
990,10,4,4,4,6,6,9,6,6,6,27,9,9,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
5278,6,6,6,18,18,9,9,9,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
7292,6,12,6,6,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
5551,7,6,6,6,6,6,8,36,12,12,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
219,11,4,4,4,4,4,4,6,6,8,8,27,12,12,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,0,0,0,0
3149,9,6,6,4,4,4,8,4,8,16,36,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0
1288,10,4,4,4,4,4,6,9,6,9,12,27,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
582,10,4,4,4,6,6,9,6,6,18,9,9,9,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
2618,9,4,4,4,6,4,12,6,12,27,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0
43,13,4,4,4,4,4,6,6,9,6,6,9,9,9,6,6,9,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0
1234,9,6,4,4,9,6,6,9,6,9,27,6,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
5537,6,6,10,8,10,8,10,12,15,20,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,0,0,0,0,0,0,0,0,0
6162,4,6,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
3539,8,16,6,6,6,6,16,8,8,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0
7592,4,72,8,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
1892,8,4,4,4,6,8,18,12,9,12,12,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
5471,7,4,4,4,16,8,8,48,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0
6877,5,36,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
5292,5,6,8,24,8,18,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
6497,6,6,4,4,6,54,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
1071,9,4,4,4,6,6,9,18,12,9,9,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
718,10,4,4,4,4,4,6,6,9,18,18,9,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
2364,7,6,8,6,6,8,18,12,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
1505,9,6,4,4,12,12,8,8,9,6,6,12,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
670,4,12,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
4523,7,4,4,4,8,24,16,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0
2952,8,6,4,4,6,6,12,27,9,9,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
4740,7,6,6,6,24,9,9,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
7504,7,6,6,6,6,6,6,108,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
4556,7,6,8,6,6,8,24,9,9,12,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
897,10,6,4,4,6,6,8,8,12,12,6,6,12,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
6326,6,24,6,6,12,12,12,12,18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0
2666,8,6,6,6,6,6,12,18,9,9,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
2890,8,6,4,4,6,6,27,9,9,9,9,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0
5379,6,12,6,6,27,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
1530,9,6,8,6,6,6,6,6,8,9,9,12,12,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
4781,7,6,6,6,6,12,12,9,12,12,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
6574,5,6,12,6,12,9,18,18,21,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0
6274,5,20,6,10,9,15,15,15,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0
5345,6,6,10,6,10,9,9,15,15,15,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,0,0,0,0,0,0,0,0,0
5331,6,12,6,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
3624,7,12,6,6,6,18,9,9,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
5518,6,12,6,6,24,8,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
5995,6,6,6,6,8,36,9,12,12,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
1874,10,4,4,4,4,4,6,12,6,9,24,8,12,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
2370,8,6,6,6,6,6,18,9,9,9,9,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0
1769,8,6,4,4,18,6,18,6,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
5714,6,6,6,6,6,30,10,15,15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
3703,8,4,4,6,4,4,12,12,12,8,16,16,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,0,0,0,0,0,0,0
1983,8,6,6,6,6,6,6,12,18,9,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
531,10,6,6,6,6,6,6,6,6,12,12,9,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
5632,8,36,6,6,6,6,6,6,9,9,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
5930,6,18,6,6,6,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
3881,6,6,10,6,10,18,10,9,15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
2881,7,6,8,6,6,12,9,12,12,12,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
81,13,6,4,4,4,4,6,6,6,6,4,6,6,8,8,12,12,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,0,0
7155,6,6,6,6,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
3362,6,6,6,18,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0
2163,9,6,4,4,9,6,12,9,9,9,6,9,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
731,11,4,4,6,4,4,6,6,6,9,6,6,27,9,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
2339,11,4,4,4,4,4,9,6,6,4,6,9,54,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
5716,6,6,4,4,6,10,15,30,15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
2232,8,6,8,6,6,8,12,8,9,9,12,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
4246,7,24,12,6,6,6,9,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
4409,7,6,4,4,18,9,9,27,6,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
7398,5,12,8,8,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
7458,5,6,6,72,8,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
4519,7,6,4,4,10,20,10,10,30,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,0,0,0,0,0,0,0,0
4939,6,12,6,24,8,8,9,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
3646,7,6,6,6,6,6,18,18,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
6380,5,18,6,6,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
2705,10,4,4,6,4,4,6,6,6,9,12,27,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
1255,9,4,4,6,4,4,9,27,9,9,9,6,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
2104,9,4,4,4,6,6,6,8,8,27,12,12,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
