,num_cp
798,7
799,8
800,7
801,8
802,5
803,5
804,7
805,4
806,8
807,7
808,4
809,4
810,5
811,8
812,7
813,7
814,7
815,7
816,6
817,8
818,6
819,8
820,4
821,9
822,8
823,4
824,3
825,7
826,7
827,5
828,9
829,7
830,4
831,6
832,6
833,7
834,7
835,5
836,6
837,9
838,7
839,7
840,4
841,7
842,8
843,5
844,11
845,8
846,6
847,6
848,8
849,9
850,9
851,6
852,7
853,7
854,5
855,7
856,6
857,7
858,7
859,3
860,6
861,8
862,5
863,6
864,6
865,6
866,7
867,8
868,9
869,8
870,8
871,7
872,7
873,6
874,7
875,10
876,8
877,5
878,7
879,7
880,9
881,6
882,7
883,6
884,8
885,9
886,7
887,7
888,8
889,4
890,8
891,8
892,9
893,8
894,5
895,7
896,4
897,5
898,6
899,7
900,6
901,5
902,5
903,6
904,8
905,5
906,5
907,6
908,7
909,7
910,6
911,7
912,9
913,7
914,3
915,8
916,9
917,5
918,6
919,7
920,6
921,8
922,10
923,8
924,6
925,6
926,8
927,8
928,5
929,5
930,8
931,7
932,5
933,6
934,3
935,6
936,5
937,4
938,5
939,7
940,5
941,7
942,7
943,5
944,8
945,5
946,6
947,5
948,4
949,5
950,10
951,8
952,6
953,6
954,7
955,5
956,6
957,8
958,4
959,7
960,7
961,7
962,6
963,5
964,8
965,10
966,6
967,9
968,6
969,6
970,8
971,5
972,7
973,6
974,10
975,9
976,5
977,7
978,8
979,7
980,6
981,7
982,7
983,8
984,7
985,6
986,8
987,9
988,6
989,5
990,7
991,9
992,4
993,7
994,7
995,7
996,5
997,8
998,9
999,7
1000,5
1001,8
1002,8
1003,8
1004,5
1005,7
1006,7
1007,7
1008,8
1009,9
1010,5
1011,10
1012,5
1013,8
1014,7
1015,7
1016,6
1017,5
1018,5
1019,7
1020,7
1021,5
1022,6
1023,7
1024,9
1025,8
1026,5
1027,9
1028,10
1029,8
1030,7
1031,8
1032,5
1033,6
1034,6
1035,8
1036,6
1037,6
1038,8
1039,3
1040,6
1041,7
1042,8
1043,7
1044,6
1045,6
1046,7
1047,7
1048,9
1049,8
1050,9
1051,5
1052,5
1053,5
1054,4
1055,4
1056,6
1057,7
1058,7
1059,6
1060,8
1061,6
1062,5
1063,7
1064,4
1065,7
1066,8
1067,4
