,num_cp,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
5270,6,1,1,2,2,2,4,0,0,0,0,0,0,0,0,0
597,10,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
4351,8,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
6384,5,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0
4758,6,1,1,2,2,3,3,0,0,0,0,0,0,0,0,0
7790,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
7391,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0
6744,5,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
3468,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
5020,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
2990,8,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
6983,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
7695,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2544,8,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
5840,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
6518,4,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0
4066,6,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0
3988,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
7578,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
685,10,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0
5011,5,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0
3243,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
6082,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
4083,6,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
2837,9,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0
3697,6,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
4941,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
6884,8,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
4040,7,1,1,1,1,1,2,3,0,0,0,0,0,0,0,0
2230,8,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
7842,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2320,8,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
4878,7,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0
521,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
522,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
6135,7,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
6324,6,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0
6321,7,1,1,1,1,2,3,3,0,0,0,0,0,0,0,0
5929,6,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
780,11,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
6146,4,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0
6948,5,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0
651,10,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
5860,6,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0
2196,9,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
369,11,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
5151,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
4214,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
377,13,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0
5522,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
2216,9,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
5982,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
1613,9,1,1,1,1,1,2,2,3,3,0,0,0,0,0,0
7044,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
3632,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
962,9,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
7064,5,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
7362,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
7307,5,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0
5321,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
359,12,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0
3839,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
5253,6,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0
1246,9,1,1,1,1,2,2,2,2,3,0,0,0,0,0,0
5478,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
3694,7,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
6635,6,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0
2567,7,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
3423,9,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
2037,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
772,11,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
7210,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
3562,9,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
7423,4,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0
7172,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
6781,5,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0
4531,6,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0
1674,8,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
365,11,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0
